Time,Open,High,Low,Close,Close_eurjpy,Close_audjpy,Close_gbpjpy
2023/1/23 2:00,130.033,130.329,130.01,130.318,141.801,91.091,160.991
2023/1/23 3:00,130.318,130.458,130.108,130.236,141.583,91.119,161.043
2023/1/23 4:00,130.236,130.636,130.217,130.495,141.708,91.036,161.105
2023/1/23 5:00,130.496,130.885,130.471,130.627,141.891,91.175,161.293
2023/1/23 6:00,130.628,130.795,130.427,130.607,141.898,91.838,161.564
2023/1/23 7:00,130.606,130.709,130.436,130.691,141.983,91.795,161.648
2023/1/23 8:00,130.692,130.748,130.603,130.642,141.907,91.79,161.583
2023/1/23 9:00,130.642,130.677,130.555,130.65,141.965,91.81,161.633
2023/1/23 10:00,130.65,130.713,130.586,130.667,141.886,91.739,161.572
2023/1/23 11:00,130.665,130.711,130.604,130.689,142.031,91.829,161.699
2023/1/23 12:00,130.689,130.702,130.646,130.657,142.007,91.811,161.721
2023/1/23 13:00,130.659,130.659,130.557,130.582,141.972,91.776,161.608
2023/1/23 14:00,130.592,130.613,130.452,130.594,141.968,91.779,161.652
2023/1/23 15:00,130.593,130.728,130.257,130.386,141.778,91.703,161.392
2023/1/23 16:00,130.386,130.436,130.243,130.256,141.729,91.739,161.359
2023/1/23 17:00,130.255,130.423,130.138,130.309,141.764,91.732,161.418
2023/1/23 18:00,130.31,130.447,130.23,130.379,141.78,91.711,161.419
2023/1/23 19:00,130.379,130.443,130.18,130.285,141.702,91.603,161.336
2023/1/23 20:00,130.284,130.344,130.062,130.139,141.57,91.578,161.196
2023/1/23 21:00,130.142,130.176,130.039,130.048,141.592,91.652,161.287
2023/1/23 22:00,130.045,130.203,129.723,129.853,141.394,91.354,161.073
2023/1/23 23:00,129.852,130.154,129.761,130.012,141.375,91.363,161.115
2023/1/24 0:00,130.013,130.388,129.996,130.111,141.314,91.314,160.426
2023/1/24 1:00,130.11,130.271,130.049,130.14,141.38,91.402,160.302
2023/1/24 2:00,130.139,130.299,130.115,130.19,141.473,91.423,160.312
2023/1/24 3:00,130.19,130.331,130.152,130.265,141.459,91.356,160.065
2023/1/24 4:00,130.266,130.488,130.195,130.428,141.72,91.494,160.319
2023/1/24 5:00,130.429,131.116,130.338,131.068,142.106,91.717,160.75
2023/1/24 6:00,131.067,131.106,130.041,130.091,141.478,91.695,160.198
2023/1/24 7:00,130.092,130.242,129.865,130.077,141.414,91.574,160.27
